Date,User,Text,Link
"February 27, 2018 at 12:59PM",@realDonaldTrump,"“He’s got a very good point. Somebody in the Justice Department has a treasure trove of evidence of Mrs. Clinton’s criminality at her own hands, or through others, that ought to be investigated. I fully agree with the President on that.” @judgenapolitano on @marthamaccallum Show",http://twitter.com/realDonaldTrump/status/968455547094753281
"February 27, 2018 at 01:28PM",@realDonaldTrump,"“I’ve been skeptical about the collusion and obstruction claims for the last year. I just don’t see the evidence....in terms of the collusion, it’s all a bit implausible based on the evidence we have.”  Jonathan Turley on @FoxNews",http://twitter.com/realDonaldTrump/status/968462966864609280
"February 27, 2018 at 01:45PM",@realDonaldTrump,"“We’ve seen NO EVIDENCE OF COLLUSION....I have seen nothing, the firing of James Comey and all of the aftermath, that suggests that the President has obstructed justice because he’s exercising his power as the President of the U.S. I just don’t see it.”  Judge Ken Starr",http://twitter.com/realDonaldTrump/status/968467243192537088
"February 27, 2018 at 01:49PM",@realDonaldTrump,WITCH HUNT!,http://twitter.com/realDonaldTrump/status/968468176639004672
"February 27, 2018 at 07:11PM",@realDonaldTrump,"I want to encourage all of my many Texas friends to vote in the primary for Governor Greg Abbott, Senator Ted Cruz, Lt. Gov. Dan Patrick, and Attorney General Ken Paxton. They are helping me to Make America Great Again! Vote early or on March 6th.",http://twitter.com/realDonaldTrump/status/968549117625602054
"February 27, 2018 at 07:18PM",@realDonaldTrump,“American consumers are the most confident they've been since 2000....A strong job market is boosting confidence. The unemployment rate has stayed at a 17-year low.” https://t.co/aL7aVoR7XC,http://twitter.com/realDonaldTrump/status/968550893015707649
"February 27, 2018 at 11:55PM",@realDonaldTrump,"Texas LC George P. Bush backed me when it wasn’t the politically correct thing to do, and I back him now. Also, AC Sid Miller has been with me from the beginning, he is “Trump’s Man in Texas.” Also support Comptroller Glenn Hegar, and Railroad Commissioner Christi Craddick.",http://twitter.com/realDonaldTrump/status/968620661349470209
"February 27, 2018 at 11:58PM",@realDonaldTrump,.@SenatorWicker of Mississippi has been a great supporter and incredible help in getting our massive Tax Cut Bill done and approved. Also big help on cutting regs. I am with him in his re-election all the way!,http://twitter.com/realDonaldTrump/status/968621347294318592
"February 28, 2018 at 05:20AM",@realDonaldTrump,"Such a beautiful map, thank you! https://t.co/FyQdgKvsRO",http://twitter.com/realDonaldTrump/status/968702480753315840
"February 28, 2018 at 05:28AM",@realDonaldTrump,Big legal win today. U.S. judge sided with the Trump Administration and rejected the attempt to stop the government from building a great Border Wall on the Southern Border. Now this important project can go forward!,http://twitter.com/realDonaldTrump/status/968704442110545923
"February 28, 2018 at 01:02PM",@realDonaldTrump,"The Heritage Foundation has just stated that 64% of the Trump Agenda is already done, faster than even Ronald Reagan. “We’re blown away,” said Thomas Binion of Heritage, President Trump “is very active, very conservative and very effective. Huge volume &amp; spectrum of issues.”",http://twitter.com/realDonaldTrump/status/968818810005450752
"February 28, 2018 at 01:29PM",@realDonaldTrump,I have decided that sections of the Wall that California wants built NOW will not be built until the whole Wall is approved. Big victory yesterday with ruling from the courts that allows us to proceed. OUR COUNTRY MUST HAVE BORDER SECURITY!,http://twitter.com/realDonaldTrump/status/968825596133478400
"February 28, 2018 at 03:08PM",@realDonaldTrump,45 year low on illegal border crossings this year. Ice and Border Patrol Agents are doing a great job for our Country. MS-13 thugs being hit hard.,http://twitter.com/realDonaldTrump/status/968850364383596545
"February 28, 2018 at 03:34PM",@realDonaldTrump,"Why is A.G. Jeff Sessions asking the Inspector General to investigate potentially massive FISA abuse. Will take forever, has no prosecutorial power and already late with reports on Comey etc. Isn’t the I.G. an Obama guy? Why not use Justice Department lawyers? DISGRACEFUL!",http://twitter.com/realDonaldTrump/status/968856971075051521
"February 28, 2018 at 06:10PM",@realDonaldTrump,"Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of the power of prayer and the gift of God’s grace. https://t.co/5aMh8nFPJW",http://twitter.com/realDonaldTrump/status/968896168230051850
"February 28, 2018 at 07:36PM",@realDonaldTrump,"Starting at a small Bible School in Florida, Billy Graham soon led a nationwide revival. From a large tent in Los Angeles, to one hundred thousand people in a single day at Yankee Stadium, to more than two million people at Madison Square Garden over sixteen weeks in 1957... https://t.co/z1vvAemlBP",http://twitter.com/realDonaldTrump/status/968917941671612416
"February 28, 2018 at 08:01PM",@realDonaldTrump,"Today we honor Billy Graham as only three private citizens before him have been honored. 

We say a prayer for our country: that all across this land, the Lord will raise up men and women like Billy Graham to spread a message of love and hope to every precious child of God. https://t.co/EM4lZUZpX9",http://twitter.com/realDonaldTrump/status/968924154031497226
"February 28, 2018 at 10:34PM",@realDonaldTrump,"It was an honor to welcome bipartisan members of Congress for a discussion on SAFE schools and SAFE communities. As we continue to mourn the loss of so many precious young lives in Parkland, we are determined to turn our grief into action. Full meeting: https://t.co/tbl94sCM01 https://t.co/TmUMusoR9x",http://twitter.com/realDonaldTrump/status/968962582374621185
"March 01, 2018 at 12:53PM",@realDonaldTrump,"Many ideas, some good &amp; some not so good, emerged from our bipartisan meeting on school safety yesterday at the White House. Background Checks a big part of conversation. Gun free zones are proven targets of killers. After many years, a Bill should emerge. Respect 2nd Amendment!",http://twitter.com/realDonaldTrump/status/969178931369783296
"March 01, 2018 at 01:12PM",@realDonaldTrump,"Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy with countries from around the world. We must not let our country, companies and workers be taken advantage of any longer. We want free, fair and SMART TRADE!",http://twitter.com/realDonaldTrump/status/969183644756660224
"March 01, 2018 at 07:06PM",@realDonaldTrump,"Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA https://t.co/SzHTarzfrW",http://twitter.com/realDonaldTrump/status/969272683061022721
"March 01, 2018 at 07:26PM",@realDonaldTrump,“Manufacturing in U.S. Expands at Fastest Pace Since May 2004” https://t.co/XZkwS8tTml,http://twitter.com/realDonaldTrump/status/969277822920470530
"March 01, 2018 at 09:40PM",@realDonaldTrump,“Consumer Confidence in February Highest Since November 2000” https://t.co/UgAJRawExx,http://twitter.com/realDonaldTrump/status/969311530733981698
"March 01, 2018 at 10:31PM",@realDonaldTrump,"Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to love and support our neighbors in times of dire need. Working together, we will defeat this #OpioidEpidemic.
Full Opioid Summit: https://t.co/qqfeVr4BBf https://t.co/oFvr0DJMEf",http://twitter.com/realDonaldTrump/status/969324283036971009
"March 02, 2018 at 01:51AM",@realDonaldTrump,Jobless claims at a 49 year low!,http://twitter.com/realDonaldTrump/status/969374597127778304
"March 02, 2018 at 01:52AM",@realDonaldTrump,Manufacturing growing at the fastest pace in almost two decades!,http://twitter.com/realDonaldTrump/status/969374909209239552
"March 02, 2018 at 03:58AM",@realDonaldTrump,RT @Scavino45: “Trump Comes Through — Saves $1.4 Billion On New Air Force One” https://t.co/cN3TAQywpR,http://twitter.com/realDonaldTrump/status/969406584534257671
"March 02, 2018 at 03:59AM",@realDonaldTrump,RT @IvankaTrump: My OpEd on the importance of #YouthSports participation and how this Administration is seeking to lift barriers so all our nation’s children can engage in sports and play: https://t.co/VNdUW2UMyQ,http://twitter.com/realDonaldTrump/status/969406846602752000
"March 02, 2018 at 04:04AM",@realDonaldTrump,Good (Great) meeting in the Oval Office tonight with the NRA!,http://twitter.com/realDonaldTrump/status/969408165308747777
"March 02, 2018 at 11:42AM",@realDonaldTrump,"Alex Baldwin, whose dieing mediocre career was saved by his impersonation of me on SNL, now says playing DJT was agony for him. Alex, it was also agony for those who were forced to watch. You were terrible. Bring back Darrell Hammond, much funnier and a far greater talent!",http://twitter.com/realDonaldTrump/status/969523385016471552
"March 02, 2018 at 11:50AM",@realDonaldTrump,"When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with, trade wars are good, and easy to win. Example, when we are down $100 billion with a certain country and they get cute, don’t trade anymore-we win big. It’s easy!",http://twitter.com/realDonaldTrump/status/969525362580484098
"March 02, 2018 at 12:07PM",@realDonaldTrump,"Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me was agony. Alec, it was agony for those who were forced to watch. Bring back Darrell Hammond, funnier and a far greater talent!",http://twitter.com/realDonaldTrump/status/969529668234829825
"March 02, 2018 at 12:18PM",@realDonaldTrump,"Eric, we are all with you and your family! Look forward to seeing you back on T.V. https://t.co/d6y3Q00BSy",http://twitter.com/realDonaldTrump/status/969532384285687808
"March 02, 2018 at 02:01PM",@realDonaldTrump,"We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DON’T HAVE STEEL, YOU DON’T HAVE A COUNTRY!",http://twitter.com/realDonaldTrump/status/969558431802806272
"March 02, 2018 at 02:57PM",@realDonaldTrump,"When a country Taxes our products coming in at, say, 50%, and we Tax the same product coming into our country at ZERO, not fair or smart. We will soon be starting RECIPROCAL TAXES so that we will charge the same thing as they charge us. $800 Billion Trade Deficit-have no choice!",http://twitter.com/realDonaldTrump/status/969572374977839106
"March 02, 2018 at 08:48PM",@realDonaldTrump,REST IN PEACE BILLY GRAHAM! https://t.co/2qMoUccVC2,http://twitter.com/realDonaldTrump/status/969660692419657728
"March 02, 2018 at 09:31PM",@realDonaldTrump,Heading to Billy Graham Funeral. A Special Man!,http://twitter.com/realDonaldTrump/status/969671528991338498
"March 03, 2018 at 03:15PM",@realDonaldTrump,Happy National Anthem Day! https://t.co/cf1eugMbKU,http://twitter.com/realDonaldTrump/status/969939200933056512
"March 03, 2018 at 06:33PM",@realDonaldTrump,Mainstream Media in U.S. is being mocked all over the world. They’ve gone CRAZY! https://t.co/4UGYuJpUA7,http://twitter.com/realDonaldTrump/status/969989251537481730
"March 03, 2018 at 06:43PM",@realDonaldTrump,The United States has an $800 Billion Dollar Yearly Trade Deficit because of our “very stupid” trade deals and policies. Our jobs and wealth are being given to other countries that have taken advantage of us for years. They laugh at what fools our leaders have been. No more!,http://twitter.com/realDonaldTrump/status/969991653393039361
"March 03, 2018 at 06:53PM",@realDonaldTrump,"If the E.U. wants to further increase their already massive tariffs and barriers on U.S. companies doing business there, we will simply apply a Tax on their Cars which freely pour into the U.S. They make it impossible for our cars (and more) to sell there. Big trade imbalance!",http://twitter.com/realDonaldTrump/status/969994273121820672
"March 04, 2018 at 06:42PM",@realDonaldTrump,"The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better time doing something, and especially since this is for the American People!",http://twitter.com/realDonaldTrump/status/970353692938469377
"March 05, 2018 at 01:10AM",@realDonaldTrump,"We are on the losing side of almost all trade deals. Our friends and enemies have taken advantage of the U.S. for many years. Our Steel and Aluminum industries are dead. Sorry, it’s time for a change! MAKE AMERICA GREAT AGAIN!",http://twitter.com/realDonaldTrump/status/970451373681790978
